# Sizes, alignments and offsets of every ABI-crossing type, dumped from
# codec/api/wels/{codec_api,codec_app_def,codec_def}.h by rust/tools/abi_sizes.c.
# Regenerate with rust/tools/abi_sizes.sh; check with --check.
# host: Darwin arm64   cc: Apple clang version 21.0.0 (clang-2100.1.1.101)
#
# size <type> <sizeof> <alignof>
# off  <type> <field> <offsetof>
size  EVideoFormatType           4 4
size  EVideoFrameType            4 4
size  CM_RETURN                  4 4
size  SSysMEMBuffer              20 4
size  SBufferInfo                72 8
size  OpenH264Version            16 4
size  DECODING_STATE             4 4
size  ENCODER_OPTION             4 4
size  DECODER_OPTION             4 4
size  ERROR_CON_IDC              4 4
size  FEEDBACK_VCL_NAL_IN_AU     4 4
size  LAYER_TYPE                 4 4
size  LAYER_NUM                  4 4
size  VIDEO_BITSTREAM_TYPE       4 4
size  KEY_FRAME_REQUEST_TYPE     4 4
size  SLTRRecoverRequest         20 4
size  SLTRMarkingFeedback        16 4
size  SLTRConfig                 8 4
size  RC_MODES                   4 4
size  EProfileIdc                4 4
size  ELevelIdc                  4 4
size  SliceModeEnum              4 4
size  SSliceArgument             152 4
size  EVideoFormatSPS            4 4
size  EColorPrimaries            4 4
size  ETransferCharacteristics   4 4
size  EColorMatrix               4 4
size  ESampleAspectRatio         4 4
size  SSpatialLayerConfig        200 4
size  EUsageType                 4 4
size  ECOMPLEXITY_MODE           4 4
size  EParameterSetStrategy      4 4
size  SEncParamBase              24 4
size  SEncParamExt               924 4
size  SVideoProperty             8 4
size  SDecodingParam             32 8
size  SLayerBSInfo               56 8
size  SFrameBSInfo               7192 8
size  SSourcePicture             80 8
size  SBitrateInfo               8 4
size  SDumpLayer                 16 8
size  SProfileInfo               8 4
size  SLevelInfo                 8 4
size  SDeliveryStatus            12 4
size  SDecoderCapability         36 4
size  SParserBsInfo              48 8
size  SEncoderStatistics         88 8
size  SDecoderStatistics         104 4
size  SVuiSarInfo                12 4
size  ISVCEncoderVtbl            72 8
size  ISVCDecoderVtbl            80 8
off   SSysMEMBuffer              iWidth                         0
off   SSysMEMBuffer              iHeight                        4
off   SSysMEMBuffer              iFormat                        8
off   SSysMEMBuffer              iStride                        12
off   SBufferInfo                iBufferStatus                  0
off   SBufferInfo                uiInBsTimeStamp                8
off   SBufferInfo                uiOutYuvTimeStamp              16
off   SBufferInfo                UsrData                        24
off   SBufferInfo                pDst                           48
off   SVideoProperty             size                           0
off   SVideoProperty             eVideoBsType                   4
off   SDecoderCapability         iProfileIdc                    0
off   SDecoderCapability         iProfileIop                    4
off   SDecoderCapability         iLevelIdc                      8
off   SDecoderCapability         iMaxMbps                       12
off   SDecoderCapability         iMaxFs                         16
off   SDecoderCapability         iMaxCpb                        20
off   SDecoderCapability         iMaxDpb                        24
off   SDecoderCapability         iMaxBr                         28
off   SDecoderCapability         bRedPicCap                     32
off   SParserBsInfo              iNalNum                        0
off   SParserBsInfo              pNalLenInByte                  8
off   SParserBsInfo              pDstBuff                       16
off   SParserBsInfo              iSpsWidthInPixel               24
off   SParserBsInfo              iSpsHeightInPixel              28
off   SParserBsInfo              uiInBsTimeStamp                32
off   SParserBsInfo              uiOutBsTimeStamp               40
off   SVuiSarInfo                uiSarWidth                     0
off   SVuiSarInfo                uiSarHeight                    4
off   SVuiSarInfo                bOverscanAppropriateFlag       8
off   SDecoderStatistics         uiWidth                        0
off   SDecoderStatistics         uiHeight                       4
off   SDecoderStatistics         fAverageFrameSpeedInMs         8
off   SDecoderStatistics         fActualAverageFrameSpeedInMs   12
off   SDecoderStatistics         uiDecodedFrameCount            16
off   SDecoderStatistics         uiResolutionChangeTimes        20
off   SDecoderStatistics         uiIDRCorrectNum                24
off   SDecoderStatistics         uiAvgEcRatio                   28
off   SDecoderStatistics         uiAvgEcPropRatio               32
off   SDecoderStatistics         uiEcIDRNum                     36
off   SDecoderStatistics         uiEcFrameNum                   40
off   SDecoderStatistics         uiIDRLostNum                   44
off   SDecoderStatistics         uiFreezingIDRNum               48
off   SDecoderStatistics         uiFreezingNonIDRNum            52
off   SDecoderStatistics         iAvgLumaQp                     56
off   SDecoderStatistics         iSpsReportErrorNum             60
off   SDecoderStatistics         iSubSpsReportErrorNum          64
off   SDecoderStatistics         iPpsReportErrorNum             68
off   SDecoderStatistics         iSpsNoExistNalNum              72
off   SDecoderStatistics         iSubSpsNoExistNalNum           76
off   SDecoderStatistics         iPpsNoExistNalNum              80
off   SDecoderStatistics         uiProfile                      84
off   SDecoderStatistics         uiLevel                        88
off   SDecoderStatistics         iCurrentActiveSpsId            92
off   SDecoderStatistics         iCurrentActivePpsId            96
