# What `port_census.py` finds missing, and why — Phase 8b session A (T8b.A2).
#
#   format:  <key> | <class> | <evidence>
#     key    `name <CppName>`   one function, by name (wins over a file rule)
#            `file <path>`      every missing row in that C++ file
#     class  dead | renamed | missing
#
#     dead     the reference itself cannot reach it in the configuration this port
#              ships: no caller, SIMD-only, `#ifdef`-debug-only, or on the threaded
#              detour the plan deletes (D3/D-mt-1). Nothing to port.
#     renamed  ported under another name, or folded into a neighbour. The evidence
#              names the Rust site.
#     missing  a real gap. The evidence names the owner and the size.
#
# `port_census.py --classify` re-runs the census against this file and prints every
# missing row that has no rule — which is the point: the next unported function
# shows up as "unclassified", not as a surprise four phases later. The classes are
# summed into `docs/phase8b_port_census.md`.

# =============================================================================
# dead — the threaded detour (D3 for the decoder, D-mt-1/T7.B4 for the encoder)
# =============================================================================
# `common/mod.rs:10-13`: `wels_thread_pool` stood there — 933 lines of
# `CWelsThreadPool`, `CWelsTaskThread`, `CWelsTaskList`, `WelsTaskBarrier`,
# `CWelsTaskManageBase` and `CWelsTaskManageOne` — deleted at T7.B4. The encoder
# forks with `std::thread::scope` and joins on the scope; there is no object to own,
# so there is nothing for these to be.
file codec/common/src/WelsThreadPool.cpp | dead | T7.B4/D-mt-1: the pool was deleted; the encoder forks with std::thread::scope (common/mod.rs:10-13)
file codec/common/src/WelsThread.cpp | dead | T7.B4/D-mt-1: std::thread::scope replaces CWelsThread
file codec/common/src/WelsTaskThread.cpp | dead | T7.B4/D-mt-1: std::thread::scope replaces CWelsTaskThread
file codec/common/src/WelsThreadLib.cpp | dead | the pthread/Win32 shim; Rust std::thread and std::sync are the port's
file codec/encoder/core/src/wels_task_management.cpp | dead | T7.B4/D-mt-1: CWelsTaskManage* deleted (encoder/mod.rs:42-43)
file codec/encoder/core/src/wels_task_encoder.cpp | dead | T7.B4/D-mt-1: CWelsSliceEncodingTask deleted with the task classes
file codec/decoder/core/src/wels_decoder_thread.cpp | dead | the threaded decoder; this port is single-threaded (D3), GetThreadCount() is 0

# The decoder's `plus` layer, threaded half.
name OpenDecoderThreads | dead | threaded decoder (D3)
name CloseDecoderThreads | dead | threaded decoder (D3)
name ThreadDecodeFrameInternal | dead | threaded decoder (D3)
name ThreadResetDecoder | dead | threaded decoder (D3)

# `decode_slice.cpp:1731`'s per-macroblock padding — its only caller is
# `WelsDecodeAndConstructSlice`, and `decoder_core.cpp:2727` reaches that only under
# `iThreadCount > 1`. (The port has its own `WelsDecodeAndConstructSlice` at
# `decode_slice.rs:5444` and `WelsDeblockingFilterMB` at `deblocking.rs:2295`, both
# with zero callers — S18 candidates for a later session; filed as F84.)
name PadMBLuma_c | dead | only caller decode_slice.cpp:1731, reached only when iThreadCount > 1
name PadMBChroma_c | dead | only caller decode_slice.cpp:1731, reached only when iThreadCount > 1
